query_id,trust,label
q1,0.8738202142563817,1
q2,0.7778951235182204,0
q3,0.818376523122907,0
q4,0.8903684898149355,1
q5,0.8508613573591055,1
q6,0.8408760567239033,0
q7,0.8114362493266664,1
q8,0.8725871426067049,0
q9,0.6827820404275554,1
q10,0.8471610513324799,0
q11,0.7867471276795485,1
q12,0.8857244814875469,1
q13,0.7832366808146884,1
q14,0.841916403996395,0
q15,0.7991340913328538,1
q16,0.7486205448177987,0
q17,0.8192046184020714,1
q18,0.8265045703917699,1
q19,0.7961566553278833,0
q20,0.7584341780134886,1
q21,0.8310022847814752,0
q22,0.8634620523046104,1
q23,0.8067603282354402,0
q24,0.8406132539722192,1
q25,0.8376652729982875,1
q26,0.8726900750456326,0
q27,0.781448315315947,1
q28,0.7414863062746693,1
q29,0.813638353858643,0
q30,0.7700995864508785,1
q31,0.8038963356769726,1
q32,0.82321116651401,0
q33,0.8090699727212854,1
q34,0.8248299042857632,1
q35,0.8243788646551057,1
q36,0.8763516627894392,0
q37,0.7981354478104505,1
q38,0.8138874921916668,1
q39,0.7337105456828502,1
q40,0.8258714939830745,1
q41,0.7614424374994807,0
q42,0.8743422900395135,1
q43,0.7954136933918883,0
q44,0.8040664303007966,1
q45,0.7973608146738642,0
q46,0.8517254776220824,1
q47,0.8828024265528729,1
q48,0.7947912449586404,0
q49,0.7695328445198624,1
q50,0.8149390663226425,0
